county,year,binary_congress,journos,stories,binary_2014,pop,perc_aian,perc_asian,perc_black,perc_other,perc_white,#_hispanic,median_age,perc_hispanic,perc_hs,perc_bach,per_cap_income,binary_treated,binary_post_treat,voter_part,comments,don_number,don_sum,don_uni,notes
Bertie,2014,1,1100,403,0,20454,0.46445683,0.74313093,61.8363156,1.13425247,35.8218441,291,42.525,1.42270461,74.9,11.11,32152,0,1,45.102253,NA,189,15831.16,128,
Bertie,2015,0,1120,215,1,20409,0.46548092,0.78396786,61.7227694,1.19555098,35.8322309,300,42.6889401,1.46993973,78.38,13.64,32611,0,1,4.1735036,9,122,4529.01,84,
Bertie,2016,1,1090,157,1,19798,0.46974442,0.8283665,61.6122841,1.2577028,35.8319022,295,41.7799043,1.4900495,78.38,13.64,33231,0,1,65.896968,0,112,5832.5,78,
Bertie,2017,0,1070,104,1,19780,0.46511628,0.86956522,61.5116279,1.31445905,35.8392316,302,41.5096154,1.52679474,78.38,13.64,35639,0,1,5.4992452,NA,69,3180,53,
Bertie,2018,1,920,161,1,19709,0.46679182,0.91328835,61.4135674,1.37500634,35.8313461,308,41.5741525,1.56273784,78.38,13.64,35603,0,1,48.8992052,1,97,20797.82,67,
Onslow,2011,0,790,306,0,186457,0.79321238,2.35282129,15.505988,4.0019951,77.3459833,19672,25.9194865,10.5504218,90.28,18.41,43668,0,0,2.2378256,2,1193,133153.98,546,
Onslow,2012,1,790,348,0,191183,0.79766506,2.37782648,15.2487407,4.10287526,77.4728925,20889,26.0327024,10.9261807,90.28,18.41,42910,0,0,52.9955947,1,1737,120183.24,726,
Onslow,2013,0,930,327,0,193505,0.80204646,2.40148833,15.000646,4.19989148,77.5959278,21834,26.1881486,11.2834294,90.28,18.41,41905,0,0,9.01411747,13,1583,134905.38,617,
Onslow,2014,1,1100,403,0,192684,0.80598285,2.42521434,14.7609558,4.29407735,77.7137697,22401,26.2722157,11.6257707,90.28,18.41,42494,0,1,32.7158647,3,2453,134286.55,711,
Onslow,2015,0,1120,215,1,193966,0.80993576,2.44733613,14.5298661,4.38478909,77.828073,23189,26.2519928,11.955188,91.51,22.93,42870,0,1,1.90572034,1,1667,154219.7,582,
Onslow,2016,1,1090,157,1,193505,0.81341567,2.46918684,14.3066071,4.47223586,77.9385546,23744,26.2248011,12.270484,91.51,22.93,45896,0,1,53.984692,0,1696,89952.01,545,
Onslow,2017,0,1070,104,1,196535,0.81766607,2.49014171,14.09062,4.55644033,78.0451319,24711,26.5009337,12.573333,91.51,22.93,44865,0,1,3.15592015,1,2032,91260.92,672,
Onslow,2018,1,920,161,1,198740,0.82117339,2.51031498,13.8819563,4.63872396,78.1478313,25571,26.2143556,12.8665593,91.51,22.93,46377,0,1,35.0435545,13,3903,297021.99,997,
